Anno,Stazione,Saliti7-9,Saliti24H,Quota_7_9_pct
2015,Airuno,350.0,680.0,51.470588235294116
2015,Cernusco-Merate,860.0,1530.0,56.209150326797385
2015,Olgiate-Calco-Brivio,810.0,1560.0,51.92307692307693
2015,Osnago,410.0,790.0,51.89873417721519
2016,Airuno,290.0,670.0,43.28358208955223
2016,Cernusco-Merate,680.0,1470.0,46.25850340136054
2016,Olgiate-Calco-Brivio,630.0,1410.0,44.680851063829785
2016,Osnago,450.0,870.0,51.724137931034484
2017,Airuno,330.0,720.0,45.83333333333333
2017,Cernusco-Merate,850.0,1690.0,50.29585798816568
2017,Olgiate-Calco-Brivio,670.0,1480.0,45.27027027027027
2017,Osnago,450.0,890.0,50.56179775280899
2018,Airuno,300.0,740.0,40.54054054054054
2018,Cernusco-Merate,790.0,1640.0,48.170731707317074
2018,Olgiate-Calco-Brivio,700.0,1550.0,45.16129032258064
2018,Osnago,480.0,1000.0,48.0
2019,Airuno,250.0,720.0,34.72222222222222
2019,Cernusco-Merate,710.0,1510.0,47.019867549668874
2019,Olgiate-Calco-Brivio,580.0,1420.0,40.845070422535215
2019,Osnago,450.0,970.0,46.391752577319586
2020,Airuno,50.0,190.0,26.31578947368421
2020,Cernusco-Merate,150.0,410.0,36.58536585365854
2020,Olgiate-Calco-Brivio,120.0,380.0,31.57894736842105
2020,Osnago,100.0,260.0,38.46153846153847
2021,Airuno,270.0,540.0,50.0
2021,Cernusco-Merate,770.0,1410.0,54.60992907801418
2021,Olgiate-Calco-Brivio,490.0,1080.0,45.370370370370374
2021,Osnago,350.0,800.0,43.75
2022,Airuno,340.0,690.0,49.275362318840585
2022,Cernusco-Merate,500.0,1330.0,37.59398496240601
2022,Olgiate-Calco-Brivio,590.0,1300.0,45.38461538461539
2022,Osnago,350.0,890.0,39.325842696629216
2023,Airuno,410.0,1100.0,37.27272727272727
2023,Cernusco-Merate,730.0,1890.0,38.62433862433862
2023,Olgiate-Calco-Brivio,640.0,1660.0,38.55421686746988
2023,Osnago,530.0,1260.0,42.06349206349206
2024,Airuno,410.0,1320.0,31.060606060606062
2024,Cernusco-Merate,720.0,2100.0,34.285714285714285
2024,Olgiate-Calco-Brivio,600.0,1830.0,32.78688524590164
2024,Osnago,560.0,1590.0,35.22012578616352
2025,Airuno,490.0,1860.0,26.344086021505376
2025,Cernusco-Merate,790.0,2620.0,30.15267175572519
2025,Olgiate-Calco-Brivio,700.0,2400.0,29.166666666666668
2025,Osnago,550.0,2100.0,26.190476190476193
