Linea,Campagne_2024,Campagne_2025,Campagne_confrontate,N_campagne_confrontate
S1/S12,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
S11,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
S13,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
S2,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
S3,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
S4,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
S5,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
S6,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
S7,"Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Novembre",2
S8,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
S9,"Luglio, Maggio, Novembre","Luglio, Maggio, Novembre","Maggio, Luglio, Novembre",3
