Anno,Stazione,Saliti7-9,Saliti24H,Peso_punta_pct
2015,Airuno,350.0,680.0,51.470588235294116
2016,Airuno,290.0,670.0,43.28358208955223
2017,Airuno,330.0,720.0,45.83333333333333
2018,Airuno,300.0,740.0,40.54054054054054
2019,Airuno,250.0,720.0,34.72222222222222
2020,Airuno,50.0,190.0,26.31578947368421
2021,Airuno,270.0,540.0,50.0
2022,Airuno,340.0,690.0,49.275362318840585
2023,Airuno,410.0,1100.0,37.27272727272727
2024,Airuno,410.0,1320.0,31.060606060606062
2025,Airuno,490.0,1860.0,26.344086021505376
2015,Arcore,1810.0,3740.0,48.39572192513369
2016,Arcore,1920.0,4030.0,47.64267990074442
2017,Arcore,2000.0,4460.0,44.843049327354265
2018,Arcore,2180.0,4610.0,47.288503253796094
2019,Arcore,1740.0,4070.0,42.75184275184275
2020,Arcore,310.0,1230.0,25.203252032520325
2021,Arcore,1330.0,3240.0,41.04938271604938
2022,Arcore,1210.0,3400.0,35.588235294117645
2023,Arcore,1620.0,4080.0,39.705882352941174
2024,Arcore,2210.0,5400.0,40.925925925925924
2025,Arcore,1740.0,5620.0,30.96085409252669
2015,Calolziocorte-Olginate,1130.0,2440.0,46.31147540983606
2016,Calolziocorte-Olginate,1010.0,2360.0,42.79661016949153
2017,Calolziocorte-Olginate,1120.0,2650.0,42.26415094339623
2018,Calolziocorte-Olginate,1210.0,3040.0,39.80263157894737
2019,Calolziocorte-Olginate,1380.0,3150.0,43.80952380952381
2020,Calolziocorte-Olginate,220.0,730.0,30.136986301369863
2021,Calolziocorte-Olginate,660.0,1820.0,36.26373626373626
2022,Calolziocorte-Olginate,780.0,2080.0,37.5
2023,Calolziocorte-Olginate,890.0,2780.0,32.014388489208635
2024,Calolziocorte-Olginate,1010.0,3180.0,31.761006289308174
2025,Calolziocorte-Olginate,1150.0,3970.0,28.967254408060455
2015,Carnate Usmate,2140.0,4150.0,51.566265060240966
2016,Carnate Usmate,2390.0,4730.0,50.52854122621564
2017,Carnate Usmate,2190.0,4550.0,48.13186813186813
2018,Carnate Usmate,1960.0,4230.0,46.335697399527184
2019,Carnate Usmate,1650.0,3750.0,44.0
2020,Carnate Usmate,290.0,1130.0,25.663716814159294
2021,Carnate Usmate,1190.0,2860.0,41.60839160839161
2022,Carnate Usmate,1230.0,3100.0,39.67741935483871
2023,Carnate Usmate,1560.0,3880.0,40.20618556701031
2024,Carnate Usmate,1820.0,4800.0,37.916666666666664
2025,Carnate Usmate,1740.0,5450.0,31.926605504587158
2015,Cernusco-Merate,860.0,1530.0,56.209150326797385
2016,Cernusco-Merate,680.0,1470.0,46.25850340136054
