StationKey,Saliti24H_2019,Saliti24H_2025,Saliti7-9_2019,Saliti7-9_2025,Corse24H_2019,Corse24H_2025,Saliti_per_corsa_2019,Saliti_per_corsa_2025,Quota_7_9_pct_2019,Quota_7_9_pct_2025,Stazione,Label,IsMeratese,Growth_pct_Saliti24H,Delta_abs_Saliti24H,Growth_pct_Corse24H,Growth_pct_Saliti_per_corsa,Delta_quota_7_9_pp
ABBIATEGRASSO,3350.0,3130.0,1440.0,1110.0,46.0,48.0,72.82608695652173,65.20833333333333,42.98507462686567,35.46325878594249,ABBIATEGRASSO,ABBIATEGRASSO,False,-6.567164179104479,-220.0,4.347826086956519,-10.460199004975124,-7.521815840923175
AIRUNO,720.0,1860.0,250.0,490.0,67.0,73.0,10.746268656716419,25.47945205479452,34.72222222222222,26.344086021505376,AIRUNO,Airuno,True,158.33333333333334,1140.0,8.955223880597018,137.10045662100455,-8.378136200716845
ALBAIRATEVERMEZZO,2270.0,2280.0,960.0,550.0,111.0,113.0,20.45045045045045,20.17699115044248,42.290748898678416,24.12280701754386,ALBAIRATE-VERMEZZO,ALBAIRATE-VERMEZZO,False,0.4405286343612369,10.0,1.8018018018018056,-1.3371798370433785,-18.167941881134556
ALBIZZATESOLBIATEARNO,840.0,750.0,260.0,280.0,73.0,75.0,11.506849315068493,10.0,30.952380952380953,37.333333333333336,ALBIZZATE SOLBIATE ARNO,ALBIZZATE SOLBIATE ARNO,False,-10.71428571428571,-90.0,2.7397260273972712,-13.095238095238093,6.380952380952383
ARCISATE,990.0,1480.0,390.0,470.0,104.0,106.0,9.51923076923077,13.962264150943396,39.39393939393939,31.756756756756754,ARCISATE,ARCISATE,False,49.4949494949495,490.0,1.9230769230769162,46.67429007051646,-7.637182637182637
ARCORE,4070.0,5620.0,1740.0,1740.0,114.0,116.0,35.70175438596491,48.44827586206897,42.75184275184275,30.96085409252669,ARCORE,ARCORE,False,38.08353808353808,1550.0,1.7543859649122862,35.70278742692536,-11.79098865931606
ARONA,1630.0,1200.0,380.0,250.0,50.0,59.0,32.6,20.338983050847457,23.31288343558282,20.833333333333336,ARONA,ARONA,False,-26.38036809815951,-430.0,17.999999999999993,-37.61048143911824,-2.4795501022494832
AROSIO,700.0,740.0,320.0,400.0,50.0,54.0,14.0,13.703703703703704,45.714285714285715,54.054054054054056,AROSIO,AROSIO,False,5.714285714285716,40.0,8.000000000000007,-2.1164021164021163,8.33976833976834
BERGAMO,15280.0,10340.0,2980.0,2320.0,214.0,130.0,71.40186915887851,79.53846153846153,19.50261780104712,22.437137330754354,BERGAMO,BERGAMO,False,-32.32984293193717,-4940.0,-39.252336448598136,11.395489327426489,2.9345195297072344
BOLLATECENTRO,4070.0,3540.0,1430.0,1470.0,140.0,182.0,29.071428571428573,19.45054945054945,35.13513513513514,41.52542372881356,BOLLATE CENTRO,BOLLATE CENTRO,False,-13.022113022113025,-530.0,30.000000000000004,-33.0939330939331,6.39028859367842
