N. linea,2024,2025,Delta,Delta_pct
S5,162600.0,156400.0,-6200.0,-3.8130381303813037
S13,80400.0,74900.0,-5500.0,-6.8407960199004965
S4,66900.0,64500.0,-2400.0,-3.587443946188341
S3,56700.0,55200.0,-1500.0,-2.6455026455026456
S11,86700.0,85300.0,-1400.0,-1.6147635524798154
S2,46200.0,44800.0,-1400.0,-3.0303030303030303
S7,24800.0,23800.0,-1000.0,-4.032258064516129
S9,72700.0,74400.0,1700.0,2.3383768913342506
S6,114100.0,118800.0,4700.0,4.1191936897458366
S1/S12,110000.0,124200.0,14200.0,12.909090909090908
S8,116900.0,139700.0,22800.0,19.503849443969205
