Linea,Viaggiatori_2024_matched,Viaggiatori_2025_matched,Delta_2025_vs_2024_matched,Corse_2024_matched,Corse_2025_matched,Delta_corse_matched,Campagne_confrontate,N_campagne_confrontate
S5,162600.0,156400.0,-6200.0,227.0,239.0,12.0,"Maggio, Luglio, Novembre",3
S13,80400.0,74900.0,-5500.0,216.0,218.0,2.0,"Maggio, Luglio, Novembre",3
S4,66900.0,64500.0,-2400.0,218.0,216.0,-2.0,"Maggio, Luglio, Novembre",3
S3,56700.0,55200.0,-1500.0,221.0,221.0,0.0,"Maggio, Luglio, Novembre",3
S11,86700.0,85300.0,-1400.0,214.0,217.0,3.0,"Maggio, Luglio, Novembre",3
S2,46200.0,44800.0,-1400.0,189.0,185.0,-4.0,"Maggio, Luglio, Novembre",3
S7,24800.0,23800.0,-1000.0,80.0,80.0,0.0,"Maggio, Novembre",2
S9,72700.0,74400.0,1700.0,259.0,210.0,-49.0,"Maggio, Luglio, Novembre",3
S6,114100.0,118800.0,4700.0,220.0,219.0,-1.0,"Maggio, Luglio, Novembre",3
S1/S12,110000.0,124200.0,14200.0,261.0,390.0,129.0,"Maggio, Luglio, Novembre",3
S8,116900.0,139700.0,22800.0,219.0,216.0,-3.0,"Maggio, Luglio, Novembre",3
