"Campagna","CodStaz","codice_aziendale","Reg","Prov_","Stazione","cod_istat","Comune","Linea fisica","Saliti7-9","Discesi7-9","Corse7-9","Saliti24H","Corse24H","Saliti_S","Saliti_R","Saliti_RE","Corse_S","Corse_R","Corse_RE","Anno","tipo_giorno","Calendario","POINT_X","POINT_Y","Location"
"C_Luglio2023","272","S01844","LO","BS","VISANO","17203","Visano","BRESCIA-PARMA","40","30","4","140","25","0","140","0","0","25","0","2023","Feriale","estivo","10.363129196","45.315389802","POINT (10.363129196 45.315389802)"
"C_nov 2020","166","S01451","LO","CO","CANTU'","13041","Cantu'","ALBATE-MOLTENO","0","10","3","10","13","0","10","0","0","13","0","2020","Feriale","Invernale","9.130350159","45.752397871","POINT (9.130350159 45.752397871)"
"C_nov 2018","83","S01037","LO","MI","RHO","15182","Rho","TORINO-MILANO","1790","1080","20","7150","176","7150","0","0","176","0","0","2018","Fer","Invernale","9.043583998","45.523927896","POINT (9.043583998 45.523927896)"
"C_nov 2019","328","S01951","EM","PC","S.NICOLO'","33039","Rottofreno","ALESS.-PIACENZA","0","0","0","20","15","0","20","0","0","15","0","2019","Fer","Invernale","9.606551575","4.505875181","POINT (9.606551575 45.05875181)"
"C_nov 2016","2.785","S01726","LO","CO","Mozzate","13159","Mozzate","Saronno - Varese Nord","410","60","8","900","57","0","900","0","0","57","0","2016","Fer","Invernale","8.955224279","45.677788011","POINT (8.955224279 45.677788011)"
"C_Luglio2023","109","S01200","LO","VA","PORTO CERESIO","12113","Porto Ceresio","PORTO C.-GALLARATE","100","70","4","620","34","0","0","620","0","0","34","2023","Feriale","estivo","8.900389083","45.903750516","POINT (8.900389083 45.903750516)"
"C_nov 2018","112","S01204","LO","VA","INDUNO OLONA","12083","Induno Olona","PORTO C.-GALLARATE","270","70","12","790","103","500","0","300","69","0","34","2018","Fer","Invernale","8.838391122","45.846513143","POINT (8.838391122 45.846513143)"
"C_nov 2017","2.765","S01093","LO","CO","Inverigo","13118","Inverigo","Seveso - Asso","260","60","6","560","50","0","560","0","0","50","0","2017","Fer","Invernale","9.224441129","45.740269966","POINT (9.224441129 45.740269966)"
"C_nov 2017","2.795","S01014","LO","BS","Pisogne","17143","Pisogne","Iseo - Pisogne","150","40","4","400","34","0","250","160","0","21","13","2017","Fer","Invernale","10.105622584","45.806591032","POINT (10.105622584 45.806591032)"
"C_nov 2016","42","S00400","LO","PV","SAIRANO-ZINASCO","18190","Zinasco","CAVA C.-TORREBER","30","10","5","60","26","0","60","0","0","26","0","2016","Fer","Invernale","9.030186913","45.133877321","POINT (9.030186913 45.133877321)"
"C_nov 2021","5.919","S01146","LO","VA","Malpensa Aeroporto T2","12140","Vizzola Ticino","Busto Arsizio - Malpensa","0","0","8","0","51","0","0","0","14","24","13","2021","Feriale","Invernale","8.721967232","4.565058598","POINT (8.721967232 45.65058598)"
"C_Luglio2023","2.862","S01650","LO","MI","MILANO DATEO","15146","Milano","PASSANTE","850","1720","39","5480","332","5480","0","0","332","0","0","2023","Feriale","estivo","9.217309375","45.467669611","POINT (9.217309375 45.467669611)"
