"N. linea","Linea","Campagna","Tipo giorno","Viaggiatori","N. corse","viagg*km","treni*km","posti*km","Posti"
"R1","Bergamo - Brescia","c2024Luglio","Feriale","6.800","39","149.100","1.940","532.400","10.750"
"R1","Bergamo - Brescia","c2024Luglio","Festivo","4.900","34","118.800","1.660","485.200","9.960"
"R1","Bergamo - Brescia","c2024Luglio","Sabato","6.100","39","142.200","1.890","506.500","10.490"
"R1","Bergamo - Brescia","c2024Maggio","Feriale","8.600","39","189.700","1.960","536.600","10.750"
"R1","Bergamo - Brescia","c2024Maggio","Festivo","5.100","34","113.800","1.660","485.200","9.960"
"R1","Bergamo - Brescia","c2024Maggio","Sabato","6.900","40","154.800","1.950","523.500","10.750"
"R1","Bergamo - Brescia","c2024Novembre","Feriale","9.200","39","197.900","1.960","536.600","10.750"
"R1","Bergamo - Brescia","c2024Novembre","Festivo","3.200","34","37.800","520","147.300","9.960"
"R1","Bergamo - Brescia","c2024Novembre","Sabato","6.600","40","140.000","1.950","523.500","10.750"
"R1","Bergamo - Brescia","c2025Luglio","Feriale","6.300","38","137.000","1.860","970.300","19.920"
"R1","Bergamo - Brescia","c2025Luglio","Festivo","4.600","34","104.400","1.660","868.200","17.820"
"R1","Bergamo - Brescia","c2025Luglio","Sabato","6.000","40","142.600","1.950","1.021.400","20.970"
"R1","Bergamo - Brescia","c2025Maggio","Feriale","8.300","38","173.400","1.860","510.700","10.490"
"R1","Bergamo - Brescia","c2025Maggio","Festivo","5.100","34","114.800","1.660","485.200","9.960"
"R1","Bergamo - Brescia","c2025Maggio","Sabato","7.000","40","156.400","1.950","523.500","10.750"
"R1","Bergamo - Brescia","c2025Novembre","Feriale","9.400","38","195.300","1.860","510.700","10.490"
"R1","Bergamo - Brescia","c2025Novembre","Festivo","5.100","34","110.500","1.660","485.200","9.960"
"R1","Bergamo - Brescia","c2025Novembre","Sabato","6.900","40","146.300","1.950","523.500","10.750"
"R11","Colico - Chiavenna","c2024Luglio","Feriale","1.000","30","14.200","740","192.900","7.870"
"R11","Colico - Chiavenna","c2024Luglio","Festivo","900","27","13.400","660","172.200","7.080"
"R11","Colico - Chiavenna","c2024Luglio","Sabato","1.000","30","14.700","740","192.900","7.870"
"R11","Colico - Chiavenna","c2024Maggio","Feriale","1.600","30","23.500","790","239.000","9.100"
"R11","Colico - Chiavenna","c2024Maggio","Festivo","900","28","13.100","740","223.000","8.490"
"R11","Colico - Chiavenna","c2024Maggio","Sabato","1.300","30","18.500","790","239.000","9.100"
"R11","Colico - Chiavenna","c2024Novembre","Feriale","1.800","30","30.500","790","206.600","7.870"
"R11","Colico - Chiavenna","c2024Novembre","Festivo","900","28","14.100","740","192.900","7.340"
"R11","Colico - Chiavenna","c2024Novembre","Sabato","1.500","30","24.600","790","206.600","7.870"
"R11","Colico - Chiavenna","c2025Maggio","Feriale","1.700","30","28.400","790","206.600","7.870"
"R11","Colico - Chiavenna","c2025Maggio","Festivo","900","28","13.700","740","192.900","7.340"
"R11","Colico - Chiavenna","c2025Maggio","Sabato","1.500","30","24.100","790","206.600","7.870"
"R11","Colico - Chiavenna","c2025Novembre","Feriale","1.800","30","30.700","790","206.600","7.870"
"R11","Colico - Chiavenna","c2025Novembre","Festivo","800","28","11.400","740","192.900","7.340"
"R11","Colico - Chiavenna","c2025Novembre","Sabato","1.600","30","26.200","790","206.600","7.870"
"R12","Sondrio - Tirano","c2024Maggio","Feriale","200","4","3.900","110","40.200","1.550"
"R12","Sondrio - Tirano","c2024Maggio","Festivo","100","3","800","80","26.600","1.030"
"R12","Sondrio - Tirano","c2024Maggio","Sabato","200","4","2.700","110","40.200","1.550"
"R12","Sondrio - Tirano","c2024Novembre","Feriale","100","4","1.600","110","36.100","1.400"
"R12","Sondrio - Tirano","c2024Novembre","Festivo","100","1","200","30","15.700","610"
"R12","Sondrio - Tirano","c2024Novembre","Sabato","100","4","1.500","110","36.100","1.400"
