"Campagna","Codice stazione","Codice aziendale","Reg","Prov","Stazione","Cod Istat","Comune","Linea fisica","Saliti24H","Saliti7-9","Discesi7-9","Corse24H","Corse7-9","Saliti_S","Saliti_R","Saliti_RE","Corse_S","Corse_R","Corse_RE","Tipo giorno","Anno","Calendario","Location","POINT_X","POINT_Y"
"c2024Luglio","-","-","EM","-","-","-","-","-","1.290","250","260","134","16","0","1.290","0","0","134","0","Feriale","2024","Estivo","0","0","0"
"c2024Luglio","-","-","EM","-","-","-","-","-","1.110","160","170","90","12","0","1.110","0","0","90","0","Festivo","2024","Estivo","0","0","0"
"c2024Luglio","-","-","EM","-","-","-","-","-","1.100","160","180","126","12","0","1.100","0","0","126","0","Sabato","2024","Estivo","0","0","0"
"c2024Luglio","-","-","LI","-","-","-","-","-","90","30","20","55","8","0","0","90","0","0","55","Festivo","2024","Estivo","0","0","0"
"c2024Luglio","-","-","LI","-","-","-","-","-","100","20","20","55","8","0","0","100","0","0","55","Sabato","2024","Estivo","0","0","0"
"c2024Luglio","-","-","PI","-","-","-","-","-","1.360","170","80","119","13","0","520","850","0","79","40","Feriale","2024","Estivo","0","0","0"
"c2024Luglio","-","-","PI","-","-","-","-","-","790","70","90","40","8","0","210","580","0","30","10","Festivo","2024","Estivo","0","0","0"
"c2024Luglio","-","-","PI","-","-","-","-","-","1.050","110","50","90","12","0","340","710","0","60","30","Sabato","2024","Estivo","0","0","0"
"c2024Luglio","-","-","VE","-","-","-","-","-","6.870","690","380","34","3","0","0","6.870","0","0","34","Feriale","2024","Estivo","0","0","0"
"c2024Luglio","-","-","VE","-","-","-","-","-","9.100","460","370","44","3","0","110","8.990","0","2","42","Festivo","2024","Estivo","0","0","0"
"c2024Luglio","-","-","VE","-","-","-","-","-","9.340","730","350","41","3","0","100","9.250","0","2","39","Sabato","2024","Estivo","0","0","0"
"c2024Luglio","-","-","Svizzera","-","-","-","-","-","1.180","150","40","46","6","1.180","0","0","46","0","0","Feriale","2024","Estivo","0","0","0"
"c2024Luglio","-","-","Svizzera","-","-","-","-","-","470","60","0","13","1","470","0","0","13","0","0","Festivo","2024","Estivo","0","0","0"
"c2024Luglio","-","-","Svizzera","-","-","-","-","-","240","0","0","19","2","240","0","0","19","0","0","Sabato","2024","Estivo","0","0","0"
"c2024Maggio","-","-","EM","-","-","-","-","-","1.360","230","350","134","16","0","1.360","0","0","134","0","Feriale","2024","Invernale","0","0","0"
"c2024Maggio","-","-","EM","-","-","-","-","-","1.500","150","180","102","12","0","1.500","0","0","102","0","Festivo","2024","Invernale","0","0","0"
"c2024Maggio","-","-","EM","-","-","-","-","-","1.160","160","150","138","16","0","1.160","0","0","138","0","Sabato","2024","Invernale","0","0","0"
"c2024Maggio","-","-","LI","-","-","-","-","-","40","10","10","45","8","0","0","40","0","2","43","Festivo","2024","Invernale","0","0","0"
"c2024Maggio","-","-","LI","-","-","-","-","-","50","0","0","14","0","0","0","50","0","2","12","Sabato","2024","Invernale","0","0","0"
"c2024Maggio","-","-","PI","-","-","-","-","-","4.330","780","530","301","37","0","1.440","2.900","0","217","84","Feriale","2024","Invernale","0","0","0"
"c2024Maggio","-","-","PI","-","-","-","-","-","3.160","230","150","243","39","0","780","2.380","0","178","65","Festivo","2024","Invernale","0","0","0"
"c2024Maggio","-","-","PI","-","-","-","-","-","3.330","420","240","294","36","0","970","2.370","0","215","79","Sabato","2024","Invernale","0","0","0"
"c2024Maggio","-","-","TO","-","-","-","-","-","160","0","0","10","0","0","160","0","0","10","0","Festivo","2024","Invernale","0","0","0"
"c2024Maggio","-","-","TO","-","-","-","-","-","70","0","0","10","0","0","70","0","0","10","0","Sabato","2024","Invernale","0","0","0"
"c2024Maggio","-","-","VE","-","-","-","-","-","6.640","660","440","33","3","0","0","6.640","0","0","33","Feriale","2024","Invernale","0","0","0"
"c2024Maggio","-","-","VE","-","-","-","-","-","9.390","530","350","45","3","0","70","9.330","0","2","43","Festivo","2024","Invernale","0","0","0"
"c2024Maggio","-","-","VE","-","-","-","-","-","8.350","840","360","39","3","0","90","8.260","0","2","37","Sabato","2024","Invernale","0","0","0"
"c2024Maggio","-","-","Svizzera","-","-","-","-","-","1.320","110","80","44","6","1.320","0","0","44","0","0","Feriale","2024","Invernale","0","0","0"
"c2024Maggio","-","-","Svizzera","-","-","-","-","-","210","0","0","8","0","210","0","0","8","0","0","Festivo","2024","Invernale","0","0","0"
"c2024Maggio","-","-","Svizzera","-","-","-","-","-","200","10","10","16","2","200","0","0","16","0","0","Sabato","2024","Invernale","0","0","0"
"c2024Novembre","-","-","EM","-","-","-","-","-","1.410","210","390","134","16","0","1.410","0","0","134","0","Feriale","2024","Invernale","0","0","0"
"c2024Novembre","-","-","EM","-","-","-","-","-","1.250","170","180","101","13","0","1.250","0","0","101","0","Festivo","2024","Invernale","0","0","0"
"c2024Novembre","-","-","EM","-","-","-","-","-","1.400","190","180","145","17","0","1.400","0","0","145","0","Sabato","2024","Invernale","0","0","0"
"c2024Novembre","-","-","LI","-","-","-","-","-","0","0","0","2","0","0","0","0","0","2","0","Festivo","2024","Invernale","0","0","0"
"c2024Novembre","-","-","LI","-","-","-","-","-","0","0","0","2","0","0","0","0","0","2","0","Sabato","2024","Invernale","0","0","0"
"c2024Novembre","-","-","PI","-","-","-","-","-","4.450","660","650","346","41","0","1.380","3.080","0","221","125","Feriale","2024","Invernale","0","0","0"
"c2024Novembre","-","-","PI","-","-","-","-","-","3.980","270","170","272","42","0","710","3.280","0","177","95","Festivo","2024","Invernale","0","0","0"
"c2024Novembre","-","-","PI","-","-","-","-","-","3.650","360","210","347","40","0","860","2.800","0","217","130","Sabato","2024","Invernale","0","0","0"
