servizio,source_field,expected_anchor,url,http_status,content_type,fetch_ok,service_match,passenger_anchor_match,frequency_anchor_match,expected_anchor_match,audit_status,cache_path,error,snippets
Brescia Metro 1,fonte_passeggeri,passenger,https://bsnews.it/2024/03/02/metro-brescia-compie-11-anni-ha-gia-trasportato-165-milioni-di-passeggeri/,200,text/html; charset=utf-8,True,True,True,True,True,passenger_anchor_found,data\reproducibility\source_audit\_cache\925c93e0cd4b09e3.html,,"i hanno scelto e utilizzato la metropolitana di Brescia, o ltre 17 i milioni nel 2023. Ogni anno vengono percorsi oltre 1,5 milioni di km ed effettuate circa 150mila corse, con oltre 60 milioni di kg di Co2 risparmiata . “Sono risultati import || 11 anni più di 165 milioni di passeggeri hanno scelto e utilizzato la metropolitana di Brescia, o ltre 17 i milioni nel 2023. Ogni anno vengono percorsi oltre 1,5 milioni di km ed effettuate circa 150mila corse, con oltre 60 milioni di kg di || utili) iscrivendoti al nostro canale Telegram <<< >>> Clicca qui e iscriviti alla nostra newsletter: ogni giorno, dalle 4 di mattina, una e-mail con le ultime notizie pubblicate su Brescia e provincia <<< Redazione BsNews.it 2 Marzo 2024 Bre || ▼ Metro Brescia compie 11 anni: ha già trasportato 165 milioni di passeggeri - bsnews.it menu contatti comuni zone argomenti Ultime Not"
Brescia Metro 1,fonte_frequenza,frequency,https://www.bresciamobilita.it/metro/servizio-tpl,403,,False,False,False,False,False,blocked_or_unavailable,,403 Client Error: Forbidden for url: https://www.bresciamobilita.it/metro/servizio-tpl,
Roma Metro C,fonte_passeggeri,passenger,https://www.comune.roma.it/web-resources/cms/documents/09_Mobilita_Annuario2025_finale.pdf,200,application/pdf,True,True,True,True,True,passenger_anchor_found,data\reproducibility\source_audit\_cache\f09e00568eb132eb.pdf,,"2024 Linea A 79.723.080 89.387.363 94.384.672 Linea B/B1 50.089.785 57.155.295 62.341.889 Linea C 13.552.624 14.964.587 16.622.503 Totale metropolitane 143.365.489 161.507.245 173.349.064 Fonte: Elaborazioni Ufficio di Statistica di Roma Capitale su || Roma Capitale - Annuario statistico 2025 CAP.9 MOBILITÀ Roma Capitale - Annuario statistico 2025 Cap.9 Mobilità e trasporti Cap. 09 - Pag. 2 Indice Analisi sintetica || Eff. Progr. Eff. Progr. Eff. Progr. Eff. Progr. Eff. 2015 101,0 93,4 50,3 41,9 17,1 15,0 168,4 150,3 29,6 28,7 198,1 179,0 2016 99,8 87,1 52,6 49,1 16,3 15,4 168,7 149,2 31,7 30,8 200,4 180,0 2017 100,2 84,6 52,8 44,1 16,3 15,5 169,3 144,1 31 || Roma Capitale - Annuario statistico 2025 CAP.9 MOBILITÀ Roma Capitale - Annuario statistico 2025 Cap.9 Mobilità e trasporti"
Roma Metro C,fonte_frequenza,frequency,https://roma.repubblica.it/cronaca/2019/08/10/news/roma_mentro_c_un_treno_ogni_9_minuti-233354646/,200,text/html,True,True,False,True,True,frequency_anchor_found,data\reproducibility\source_audit\_cache\ced3812262281d6e.html,,"Roma, aumenta la frequenza sulla Metro C: un treno ogni 9 minuti - la Repubblica Abbonati Scarica l'app Menu Cerca Notifiche Abbonati Abbonati Menu di navigazione Abbonati Scari || Roma, aumenta la frequenza sulla Metro C: un treno ogni 9 minuti - la Repubblica Abbonati Scarica l'app Menu Cerca Notifiche Abbonati Abbonati Menu di navigazione Abbonati Scarica l'ap || Roma, aumenta la frequenza sulla Metro C: un treno ogni 9 minuti - la Repubblica Abbonati Scarica l'app Menu Cerca Notifiche || Roma, aumenta la frequenza sulla Metro C: un treno ogni 9 minuti - la Repubblica Abbonati Scarica l'app Menu Cerca Notifiche Abbonati Abbonati Menu di navigaz"
Trenord S8 Lecco-Milano,fonte_passeggeri,passenger,https://www.trenord.it/news/trenord-informa/comunicati-stampa/dati-2025-trenord/,200,text/html; charset=utf-8,True,True,True,True,True,passenger_anchor_found,data\reproducibility\source_audit\_cache\5393f634cc4a924b.html,,"tata, con 58mila utenti feriali. Il dato è stabile rispetto al 2024. Seguono le linee S8 Lecco-Carnate-Milano con oltre 51mila viaggiatori (+22% sul 2024), S6 Novara-Passante-Pioltello con più di 42mila (+2%) e S1/S12 Lodi-Melegnano-Passante-Bovi || tata, con 58mila utenti feriali. Il dato è stabile rispetto al 2024. Seguono le linee S8 Lecco-Carnate-Milano con oltre 51mila viaggiatori (+22% sul 2024), S6 Novara-Passante-Pioltello con più di 42mila (+2%) e S1/S12 Lodi-Melegnano-Passante-Bovisa-Saronno c || , raggiungendo i 378mila al giorno. Anche nel 2025 i viaggiatori del weekend hanno infranto nuovi record, superando del 30% i flussi pre Covid. Il sabato hanno viaggiato 505mila passeggeri (+5% rispetto al 2024); nei festivi 384mila (+9%). Ne || Trenord, nel 2025 780mila corse e 205 milioni di passeggeri Accedi / Registrati Vai alla tua area personale Biglietti Linee e o"
Genova Metro 1,fonte_passeggeri,passenger,https://www.amt.genova.it/amt/la-tua-metropolitana-pronto-al-via-il-progetto-di-comune-di-genova-e-amt-per-la-valorizzazione-della-metropolitana-genovese/,200,text/html; charset=UTF-8,True,True,True,True,True,passenger_anchor_found,data\reproducibility\source_audit\_cache\78ecf6f0ea83c36c.html,,"al progetto “La tua metropolitana”, promosso da Comune di Genova e AMT. La metropolitana di Genova trasporta ogni anno 14,4 milioni di passeggeri, è un asset molto importante nella mobilità pubblica cittadina e ne rappresenta un notevole valore in ter || etropolitana: il programma delle attività di manutenzione serale da lunedì 11 a giovedì 14 maggio Archivi Maggio 2026 (18) Aprile 2026 (43) Marzo 2026 (50) Febbraio 2026 (49) Gennaio 2026 (53) Dicembre 2025 (42) Novembre 2025 (43) Ottobre 20 || “La tua metropolitana” Pronto al via il progetto di Comune di Genova e AMT per la valorizzazione della metropolitana genovese Parla con noi Regolamenti Mappa del sito Area riservata Seguic || “La tua metropolitana” Pronto al via il progetto di Comune di Genova e AMT per la valorizzazione della metropolitana genovese Parla c"
Genova Metro 1,fonte_frequenza,frequency,https://www.amt.genova.it/amt/metropolitana-dal-17-al-19-marzo-variazioni-al-servizio-per-lavori-di-manutenzione-straordinaria-a-principe/,200,text/html; charset=UTF-8,True,True,False,True,True,frequency_anchor_found,data\reproducibility\source_audit\_cache\7d1147ad63ed4047.html,,"lavori di manutenzione straordinaria alla sottostazione elettrica di Principe, nelle giornate di martedì 17, mercoledì 18 e giovedì 19 marzo , i treni della metropolitana dovranno viaggiare a una velocità inferiore a quella consueta, pertant || tà inferiore a quella consueta, pertanto le partenze dai capolinea saranno effettuate con una frequenza indicativa di 7-8 minuti. 16/03/2026 Related Posts Metropolitana: il programma delle attività di manutenzione serale da lunedì 11 a giovedì 14 m || k Rete e orari App AMT Servizio urbano Linee bus Metropolitana Funicolari Ascensori Servizi integrativi Drinbus Taxibus Genova Airlink Servizio per le persone con disabilità Servizio provinciale Linee bus provinciali Chiama il bus Iscrizione serv || Metropolitana: dal 17 al 19 marzo variazioni al servizio per lavori di manutenzione straordinaria a Principe Parla con noi Re"
Catania Metro 1,fonte_passeggeri,passenger,https://www.lasicilia.it/news/catania/2210725/metropolitana-catania-l-apertura-della-nuova-tratta-nesima-monte-po-ci-siamo.html,200,text/html;charset=UTF-8,True,True,False,True,False,source_reachable_context_found_anchor_missing,data\reproducibility\source_audit\_cache\363c3aa50e393b53.html,,"Version Translated by Ai Aggiungi La Sicilia come fonte preferita Iscriviti al canale 12 maggio 2026 - Aggiornato alle 10:20 Aggiungi La Sicilia come fonte preferita su Google × Go to English Version La sicilia Palermo Catania Messina Siracu || articolo news La Sicilia Informazioni La nostra app SEGUICI Copyright © 2025 • La Sicilia Investimenti S.p.A. • P.I. 03133580872 • All rights reserved• Powered by GMDE srl || Metropolitana Catania, l'apertura della nuova tratta Nesima - Monte Po: ci siamo - La Sicilia Aggiungi La Sicilia come fonte preferita Englis || Metropolitana Catania, l'apertura della nuova tratta Nesima - Monte Po: ci siamo - La Sicilia Aggiungi La Sicilia come fonte"
Catania Metro 1,fonte_frequenza,frequency,https://catania.liveuniversity.it/2024/07/22/metro-catania-nuovi-orari/,200,text/html; charset=UTF-8,True,True,False,True,True,frequency_anchor_found,data\reproducibility\source_audit\_cache\4cd7eb3074611ee5.html,,". Il tempo di percorrenza dell’intera linea è di 20 minuti con una frequenza di transito delle unità di trazione pari a 10 minuti nelle fasce orarie antimeridiane (dall’apertura alle 15:00) dei giorni da lunedì a venerdì, e di 13 minuti nelle || . Il tempo di percorrenza dell’intera linea è di 20 minuti con una frequenza di transito delle unità di trazione pari a 10 minuti nelle fasce orarie antimeridiane (dall’apertura alle 15:00) dei giorni da lunedì a venerdì, e di 13 minuti nelle fasce || zione pari a 10 minuti nelle fasce orarie antimeridiane (dall’apertura alle 15:00) dei giorni da lunedì a venerdì, e di 13 minuti nelle fasce orarie pomeridiane (dalle 15:00 a chiusura) dei giorni da lunedì a venerdì e per l’intera giornata d || zione pari a 10 minuti nelle fasce orarie antimeridiane (dall’apertura alle 15:00) dei giorni da lunedì a venerdì, e di 13 minuti nelle fasce orarie pomeridiane (dalle 15:00 a chiusura) dei giorni da lunedì a venerdì e per l’intera giornata di sabat"
Napoli Linea 11 / Arcobaleno,fonte_passeggeri,passenger,https://it.wikipedia.org/wiki/Linea_Napoli-Giugliano-Aversa,200,text/html; charset=UTF-8,True,True,False,True,False,source_reachable_context_found_anchor_missing,data\reproducibility\source_audit\_cache\c99b18f8955df4e8.html,,"al previsto, venne inaugurata la prima tratta che collega Piscinola (attuale capolinea) a Mugnano ; il 24 aprile 2009 [ 15 ] furono aggiunte tre nuove stazioni: Giugliano , [ 17 ] Aversa Ippodromo e Aversa Centro portando la tratta in eserciz || Capodichino dell'ex Ferrovia Alifana, una sua utilizzazione promiscua con la linea 1 della metropolitana di Napoli . Il 30 dicembre dello stesso anno la Giunta Regionale campana con la delibera 7584 approvò la proposta della società di gestio || Linea Napoli-Giugliano-Aversa - Wikipedia Vai al contenuto Menu principale Menu principale sposta nella barra laterale nascondi Navi || Linea Napoli-Giugliano-Aversa - Wikipedia Vai al contenuto Menu principale Menu principale sposta nella barra laterale nascon"
