rank,line_code,line_name,status,data_year,central_mln,automation_level,primary_url,primary_fetch_ok,primary_http_status,primary_line_match,primary_value_match,primary_cache_path,secondary_url,secondary_fetch_ok,secondary_http_status,secondary_line_match,secondary_value_match,secondary_cache_path,method_note,primary_snippets,secondary_snippets,primary_error,secondary_error
1,FL1,FL1 Fiumicino Aeroporto – Roma – Fara Sabina/Orte,S,2025 stimato,20.7,supporting_sources_checked_estimate_not_fully_automatic,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,True,200,True,False,data\reproducibility\source_audit\_cache\773f4069390fdcd5.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,True,200.0,True,False,data\reproducibility\source_audit\_cache\78a570c52882df81.html,"Le fonti sono controllabili, ma non pubblicano il valore finale come dato ufficiale di linea: il valore resta una stima modellata documentata.","oporto di Fiumicino (Tariffa 1/TER): o biglietti e carnet validi per viaggi sulla linea regionale di tipo metropolitano FL1 tra Fiumicino Aeroporto e una qualsiasi fermata all’interno della zona «Anello» compresa la fermata di Parco Leonardo; || ZI 2025 DIREZIONE REGIONALE LAZIO 16 • biglietti di corsa semplice, mini-gruppi e carnet per raggiungere l’aeroporto di Fiumicino (Tariffa 1/TER): o biglietti e carnet validi per viaggi sulla linea regionale di tipo metropolitano FL1 tra Fiumicino A || RTA DEI SERVIZI 2025 DIREZIONE REGIONALE LAZIO 16 • biglietti di corsa semplice, mini-gruppi e carnet per raggiungere l’aeroporto di Fiumicino (Tariffa 1/TER): o biglietti e carnet validi per viaggi sulla linea regionale di tipo metropolitano FL1 tr || trasporto). Nell’ambito della regione Lazio sono attive 26 collaborazioni, tra le ultime quelle con Cinecittà Word e il Roma Word per raggiungere i due parchi divertimento dalla stazione di Roma Termini. (https://www.trenitalia.com/it/treni_reg","Rapporto Pendolaria 2019, la tratta FL1 Fiumicino-Fara Sabina la più frequentata - Rietinvetrina Facebook Instagram Youtube Attualità Attualità in breve Istruz || Rapporto Pendolaria 2019, la tratta FL1 Fiumicino-Fara Sabina la più frequentata - Rietinvetrina Facebook Instagram Youtube Attualità Attualità in breve Istruzione Lavor || osto con un incremento ulteriore di viaggiatori fino a 81.500 al giorno (75.000 da rapporto 2018). Secondo posto per la Roma Nord-Viterbo con 75.000 pendolari al giorno, terzo per Roma Ostiense-Viterbo con 65.000 viaggiatori al pari della Roma || Rapporto Pendolaria 2019, la tratta FL1 Fiumicino-Fara Sabina la più frequentata - Rietinvetrina Facebook Instagram Youtube Attualità Attualità in breve Istruzione Lavoro Cro",,
2,Metromare,Roma-Lido / Metromare,R,2024,20.341882,direct_value_anchor_found_in_source,https://www.regione.lazio.it/sites/default/files/documentazione/2025/Cotral_Carta_della_Qualita%CC%80_e_dei_Servizi_2025.pdf,True,200,True,True,data\reproducibility\source_audit\_cache\5fe5cb28a90e7b44.pdf,,False,,False,False,,La fonte contiene un ancoraggio numerico compatibile con il valore finale.,liente un indennizzo pari a 20€. 46 47 3 Il servizio ditrasporto pubblicoferroviario 48 CONSUNTIVO 2024 CONSUNTIVO 2024 20.341.882 MILIONI Passeggeri trasportati Roma-Lido 12.727.748 MILIONI Passeggeri trasportati Roma - Viterbo Servizio offert || liente un indennizzo pari a 20€. 46 47 3 Il servizio ditrasporto pubblicoferroviario 48 CONSUNTIVO 2024 CONSUNTIVO 2024 20.341.882 MILIONI Passeggeri trasportati Roma-Lido 12.727.748 MILIONI Passeggeri trasportati Roma - Viterbo Servizio offerto (1) || .........41 03 – IL SERVIZIO DI TRASPORTO PUBBLICO FERROVIARIO..............48 3.1 Trasporto Pubblico Ferroviario linee Metromare e Roma - Viterbo.........................................................................49 3.2 I nostri obiettivi di q || ......41 03 – IL SERVIZIO DI TRASPORTO PUBBLICO FERROVIARIO..............48 3.1 Trasporto Pubblico Ferroviario linee Metromare e Roma - Viterbo.........................................................................49 3.2 I nostri obiettivi di,,,not a URL
3,S5,S5 Varese – Milano Passante – Treviglio,L25,2025,17.4844,recomputed_from_structured_lombardia_raw,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,True,200,False,False,data\reproducibility\source_audit\_cache\0427cb543fe6433c.html,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,False,,False,False,,La riga Lombardia/TILO e' ricalcolata da CSV regionale 2025 con lo script top20 esistente.,,,,not a URL
4,S8,S8 Lecco – Carnate – Milano Porta Garibaldi,L25,2025,14.8063,recomputed_from_structured_lombardia_raw,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,True,200,False,False,data\reproducibility\source_audit\_cache\0427cb543fe6433c.html,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,False,,False,False,,La riga Lombardia/TILO e' ricalcolata da CSV regionale 2025 con lo script top20 esistente.,,,,not a URL
5,FL3,FL3 Roma – Cesano – Viterbo,S,2025 stimato,14.5,supporting_sources_checked_estimate_not_fully_automatic,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,True,200,True,False,data\reproducibility\source_audit\_cache\773f4069390fdcd5.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,True,200.0,True,False,data\reproducibility\source_audit\_cache\78a570c52882df81.html,"Le fonti sono controllabili, ma non pubblicano il valore finale come dato ufficiale di linea: il valore resta una stima modellata documentata.","medio feriale sul totale dei treni circolanti nel Lazio nel giorno medio feriale > a 10% FL1: Orte-Fiumicino Aeroporto FL3: Roma-Cesano/Viterbo Leonardo express FR2 - linee con numero di treni al giorno medio feriale sul totale dei treni circ || trasporto). Nell’ambito della regione Lazio sono attive 26 collaborazioni, tra le ultime quelle con Cinecittà Word e il Roma Word per raggiungere i due parchi divertimento dalla stazione di Roma Termini. (https://www.trenitalia.com/it/treni_reg || iale sul totale dei treni circolanti nel Lazio nel giorno medio feriale > a 10% FL1: Orte-Fiumicino Aeroporto FL3: Roma-Cesano/Viterbo Leonardo express FR2 - linee con numero di treni al giorno medio feriale sul totale dei treni circolanti nel La || l totale dei treni circolanti nel Lazio nel giorno medio feriale > a 10% FL1: Orte-Fiumicino Aeroporto FL3: Roma-Cesano/Viterbo Leonardo express FR2 - linee con numero di treni al giorno medio feriale sul totale dei treni circolanti nel Lazio nel","osto con un incremento ulteriore di viaggiatori fino a 81.500 al giorno (75.000 da rapporto 2018). Secondo posto per la Roma Nord-Viterbo con 75.000 pendolari al giorno, terzo per Roma Ostiense-Viterbo con 65.000 viaggiatori al pari della Roma || n incremento ulteriore di viaggiatori fino a 81.500 al giorno (75.000 da rapporto 2018). Secondo posto per la Roma Nord-Viterbo con 75.000 pendolari al giorno, terzo per Roma Ostiense-Viterbo con 65.000 viaggiatori al pari della Roma Lido, dove pe",,
6,RE6,RE6 Milano – Brescia – Verona,L25,2025,13.9342,recomputed_from_structured_lombardia_raw,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,True,200,False,False,data\reproducibility\source_audit\_cache\0427cb543fe6433c.html,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,False,,False,False,,La riga Lombardia/TILO e' ricalcolata da CSV regionale 2025 con lo script top20 esistente.,,,,not a URL
7,Roma-Viterbo,Roma Nord / Roma – Civita Castellana – Viterbo,R,2024,12.727748,direct_value_anchor_found_in_source,https://www.regione.lazio.it/sites/default/files/documentazione/2025/Cotral_Carta_della_Qualita%CC%80_e_dei_Servizi_2025.pdf,True,200,True,True,data\reproducibility\source_audit\_cache\5fe5cb28a90e7b44.pdf,,False,,False,False,,La fonte contiene un ancoraggio numerico compatibile con il valore finale.,ditrasporto pubblicoferroviario 48 CONSUNTIVO 2024 CONSUNTIVO 2024 20.341.882 MILIONI Passeggeri trasportati Roma-Lido 12.727.748 MILIONI Passeggeri trasportati Roma - Viterbo Servizio offerto (1) In attuazione del Contratto di Servizio con la || ditrasporto pubblicoferroviario 48 CONSUNTIVO 2024 CONSUNTIVO 2024 20.341.882 MILIONI Passeggeri trasportati Roma-Lido 12.727.748 MILIONI Passeggeri trasportati Roma - Viterbo Servizio offerto (1) In attuazione del Contratto di Servizio con la Regio || ...........................................................61 3.5 Condizioni generali di trasporto ferrovie Metromare e Roma-Viterbo...........................................................................70 04 – IL SISTEMA TARIFFARIO................ || ......41 03 – IL SERVIZIO DI TRASPORTO PUBBLICO FERROVIARIO..............48 3.1 Trasporto Pubblico Ferroviario linee Metromare e Roma - Viterbo.........................................................................49 3.2 I nostri obiettivi di,,,not a URL
8,S6,S6 Novara – Milano Passante – Treviglio/Pioltello,L25,2025,12.6148,recomputed_from_structured_lombardia_raw,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,True,200,False,False,data\reproducibility\source_audit\_cache\0427cb543fe6433c.html,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,False,,False,False,,La riga Lombardia/TILO e' ricalcolata da CSV regionale 2025 con lo script top20 esistente.,,,,not a URL
9,FL5,FL5 Roma – Civitavecchia,S,2025 stimato,11.6,supporting_sources_checked_estimate_not_fully_automatic,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,True,200,True,False,data\reproducibility\source_audit\_cache\773f4069390fdcd5.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,True,200.0,True,False,data\reproducibility\source_audit\_cache\78a570c52882df81.html,"Le fonti sono controllabili, ma non pubblicano il valore finale come dato ufficiale di linea: il valore resta una stima modellata documentata.","he consente di viaggiare in 2^ classe sui treni IC, ICN e FB - circolanti sulle linee ferroviarie FL1 (Orte-Roma e vv), FL5 (Civitavecchia -Ladispoli-Roma e vv), FL6 (Cassino – Frosinone-Roma e vv) e FL7 (Formia -Latina-Roma e vv) - su una rel || trasporto). Nell’ambito della regione Lazio sono attive 26 collaborazioni, tra le ultime quelle con Cinecittà Word e il Roma Word per raggiungere i due parchi divertimento dalla stazione di Roma Termini. (https://www.trenitalia.com/it/treni_reg || nsente di viaggiare in 2^ classe sui treni IC, ICN e FB - circolanti sulle linee ferroviarie FL1 (Orte-Roma e vv), FL5 (Civitavecchia -Ladispoli-Roma e vv), FL6 (Cassino – Frosinone-Roma e vv) e FL7 (Formia -Latina-Roma e vv) - su una relazione coincide","osto con un incremento ulteriore di viaggiatori fino a 81.500 al giorno (75.000 da rapporto 2018). Secondo posto per la Roma Nord-Viterbo con 75.000 pendolari al giorno, terzo per Roma Ostiense-Viterbo con 65.000 viaggiatori al pari della Roma",,
10,Firenze-Pistoia-Lucca,Firenze – Pistoia – Lucca/Viareggio,S,2025 stimato,11.0,supporting_sources_checked_estimate_not_fully_automatic,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Toscana.pdf,True,200,True,False,data\reproducibility\source_audit\_cache\0914ad037aebe52a.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,True,200.0,False,False,data\reproducibility\source_audit\_cache\78a570c52882df81.html,"Le fonti sono controllabili, ma non pubblicano il valore finale come dato ufficiale di linea: il valore resta una stima modellata documentata.","orno medio feriale sul totale dei treni circolanti in Toscana nel giorno medio feriale ≥ a 10% Firenze – Pisa - Livorno Firenze-Pistoia-Lucca-Viareggio Firenze-Arezzo-Chiusi (RM) FR2 - linee con numero di treni al giorno medio feriale sul totale dei treni circo || a • con Moby e Toremar, collegamento nave, da Piombino per l’Isola d’Elba • con Florentia Bus, collegamento autobus, da Firenze per Barberino Designer Outlet • Con Autolinee Toscane, collegamento autobus: ➢ dalle stazioni di Camucia -Cortona o di || seguenti interruzioni: CARTA DEI SERVIZI 2025 DIREZIONE REGIONALE TOSCANA 17 • manutenzione straordinaria nella tratta Pistoia -Porretta Terme con interruzione di linea dal 5 al 16 maggio 2025; • manutenzione straordinaria nella tratta Pontremoli || Maria Novella* Pontremoli (MS) Follonica (GR) Prato Centrale Grosseto S. Giovanni Valdarno (AR) Livorno Centrale Siena Lucca Terontola-Cortona (AR) Massa Centro Viareggio (LU) (*) biglietteria della Divisione Business AV di Trenitalia (**) bigl",,,
