line_code,line_name_raw,estate_luglio_proxy,ordinario_novembre_proxy,spalla_maggio_proxy,annual_mln
S10,S10 Albate - Como - Mendrisio - Bellinzona,5.2,115.6,43.599999999999994,164.39999999999998
R40,Cremona - Mantova,11.4,102.4,36.9,150.70000000000002
RE3,Brescia - Iseo - Edolo,45.709900000000005,0.3316,81.9,127.94150000000002
R39,Codogno - Cremona,12.4,56.0,25.799999999999997,94.2
R21,Luino - Gallarate,12.386,41.6045,18.0323,72.02279999999999
S30,Cadenazzo - Luino - Gallarate,5.0676,34.417500000000004,12.0836,51.56870000000001
R36,Pavia - Mortara - Vercelli,0.1319,30.953899999999997,13.7124,44.7982
RE7,Como - Saronno - Milano,3.8472999999999997,30.7885,9.7819,44.417699999999996
S5,S5 Varese - Milano Passante - Treviglio,2.2577000000000003,10.8941,4.3326,17.4844
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,2.1977,9.0125,3.5961000000000003,14.8063
RE6,Verona - Brescia - Milano,2.4647,7.6282,3.8413,13.9342
S6,S6 Novara - Milano Passante - Treviglio,1.7791,7.6597,3.176,12.6148
S1,S1 Saronno - Milano Passante - Lodi,1.4146999999999998,6.4079999999999995,2.6038,10.426499999999999
S11,S11 Chiasso - Seregno - Milano Pta Garibaldi,1.3019,5.9291,2.2342,9.4652
RE80,Locarno - Chiasso - Como - Milano Cle,1.3887,5.2644,2.4028,9.055900000000001
S13,S13 Pavia - Milano Passante - Milano Bovisa,1.2344,5.002,2.0141,8.250499999999999
S9,S9 Saronno - Seregno - Milano S.Cristoforo - Albairate,0.8857,5.2508,1.9546999999999999,8.0912
R17,Como - Saronno - Milano,0.976,4.6936,1.8655,7.5351
S4,S4 Camnago Lentate - Milano Cadorna,0.9583999999999999,4.3764,1.7824,7.1172
S50,S50 Varese - Mendrisio - Bellinzona,5.1848,1.1886,0.4789,6.8523000000000005
R31,Mortara - Milano,1.1278000000000001,4.1708,1.4822000000000002,6.780800000000001
R22,Varese - Saronno - Milano,0.8491000000000001,4.1827,1.6390000000000002,6.6708
R16,Asso - Milano,0.8317,4.0706,1.6118,6.514099999999999
S3,S3 Saronno - Milano Cadorna,0.7636000000000001,3.7277,1.4920999999999998,5.9834
RE8,Tirano - Sondrio - Lecco - Milano Cle,0.6541,3.4795,1.8299000000000003,5.9635
RE2,Bergamo - Milano (via Treviglio),0.9522999999999999,3.3438,1.4304,5.7265
RE5,Porto Ceresio - Varese - Gallarate - Milano,0.6693999999999999,2.7540999999999998,1.3773000000000002,4.8008
R28,Malpensa - Saronno - Milano Cle,0.7245,2.5503,1.4520999999999997,4.7269
R38,Piacenza - Lodi - Milano,0.7251000000000001,2.8155,1.0548,4.595400000000001
R14,Bergamo - Carnate - Milano,0.6284000000000001,2.5805,1.0103000000000002,4.2192
RE1,Laveno - Varese - Saronno - Milano,0.5091,2.4684,1.0053999999999998,3.9829
R27,Novara - Saronno - Milano,0.5073000000000001,2.1278,0.951,3.5861000000000005
S7,S7 Lecco - Molteno - Monza - Milano,0.41659999999999997,2.2085999999999997,0.8433999999999999,3.4685999999999995
XP1,Malpensa - Milano Cadorna,0.5616,1.7948,0.7545000000000001,3.1109
RE13,Alessandria - Pavia - Milano,0.43939999999999996,1.8637000000000001,0.7794000000000001,3.0825000000000005
R1,Bergamo - Brescia,0.37089999999999995,1.7569,0.6904000000000001,2.8182
R4,Brescia - Treviglio - Milano,0.3553,1.6758,0.6439999999999999,2.6750999999999996
RE11,Mantova - Cremona - Codogno - Milano,0.3782,1.6095000000000002,0.629,2.6167000000000002
RE4,Domodossola - Milano,0.35150000000000003,1.4018000000000002,0.7392,2.4925
R23,Domodossola - Gallarate - Milano,0.4264,1.2446,0.5418000000000001,2.2127999999999997
R34,Stradella - Pavia - Milano,0.30110000000000003,1.373,0.5171,2.1912000000000003
XP2,Malpensa - Milano Centrale,0.34590000000000004,1.1702,0.6375,2.1536
R8,Brescia - Parma,0.29700000000000004,1.0331,0.5172,1.8472999999999997
R6,Cremona - Treviglio,0.25549999999999995,1.1357,0.43460000000000004,1.8258
R2,Bergamo - Treviglio,0.3606,1.0272999999999999,0.4354,1.8233
R5,Brescia - Cremona,0.1427,0.7341,0.2683,1.1451
R37,Pavia - Codogno,0.1338,0.6708999999999999,0.285,1.0897
R3,Brescia - Iseo - Breno - Edolo,0.1446,0.6392,0.29460000000000003,1.0784
R35,Pavia - Torreberetti - Alessandria,0.15039999999999998,0.6272,0.2665,1.0441
R7,Lecco - Bergamo,0.14579999999999999,0.5603,0.2666,0.9726999999999999
