line_code,line_name_raw,period_id,period_label,proxy_campaign,tipo_giorno,daily_travellers_thousand,days_weight,annual_contribution_mln,formula
R1,Bergamo - Brescia,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Feriale,9.4,145,1.363,daily_travellers_thousand × days_weight / 1000
R1,Bergamo - Brescia,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Sabato,6.9,29,0.20010000000000003,daily_travellers_thousand × days_weight / 1000
R1,Bergamo - Brescia,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Festivo,5.1,38,0.19379999999999997,daily_travellers_thousand × days_weight / 1000
R1,Bergamo - Brescia,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Feriale,8.3,63,0.5229000000000001,daily_travellers_thousand × days_weight / 1000
R1,Bergamo - Brescia,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Sabato,7.0,13,0.091,daily_travellers_thousand × days_weight / 1000
R1,Bergamo - Brescia,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Festivo,5.1,15,0.0765,daily_travellers_thousand × days_weight / 1000
R1,Bergamo - Brescia,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Feriale,6.3,43,0.2709,daily_travellers_thousand × days_weight / 1000
R1,Bergamo - Brescia,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Sabato,6.0,9,0.054,daily_travellers_thousand × days_weight / 1000
R1,Bergamo - Brescia,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Festivo,4.6,10,0.046,daily_travellers_thousand × days_weight / 1000
R14,Bergamo - Carnate - Milano,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Feriale,14.0,145,2.03,daily_travellers_thousand × days_weight / 1000
R14,Bergamo - Carnate - Milano,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Sabato,8.5,29,0.2465,daily_travellers_thousand × days_weight / 1000
R14,Bergamo - Carnate - Milano,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Festivo,8.0,38,0.304,daily_travellers_thousand × days_weight / 1000
R14,Bergamo - Carnate - Milano,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Feriale,12.9,63,0.8127000000000001,daily_travellers_thousand × days_weight / 1000
R14,Bergamo - Carnate - Milano,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Sabato,7.7,13,0.10010000000000001,daily_travellers_thousand × days_weight / 1000
R14,Bergamo - Carnate - Milano,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Festivo,6.5,15,0.0975,daily_travellers_thousand × days_weight / 1000
R14,Bergamo - Carnate - Milano,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Feriale,11.6,43,0.4988,daily_travellers_thousand × days_weight / 1000
R14,Bergamo - Carnate - Milano,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Sabato,7.4,9,0.0666,daily_travellers_thousand × days_weight / 1000
R14,Bergamo - Carnate - Milano,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Festivo,6.3,10,0.063,daily_travellers_thousand × days_weight / 1000
R16,Asso - Milano,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Feriale,24.9,145,3.6105,daily_travellers_thousand × days_weight / 1000
R16,Asso - Milano,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Sabato,10.1,29,0.2929,daily_travellers_thousand × days_weight / 1000
R16,Asso - Milano,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Festivo,4.4,38,0.16720000000000002,daily_travellers_thousand × days_weight / 1000
R16,Asso - Milano,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Feriale,21.9,63,1.3797,daily_travellers_thousand × days_weight / 1000
R16,Asso - Milano,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Sabato,10.7,13,0.1391,daily_travellers_thousand × days_weight / 1000
R16,Asso - Milano,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Festivo,6.2,15,0.093,daily_travellers_thousand × days_weight / 1000
R16,Asso - Milano,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Feriale,17.3,43,0.7439,daily_travellers_thousand × days_weight / 1000
