line_code,line_name_raw,period_id,period_label,proxy_campaign,tipo_giorno,daily_travellers_thousand,days_weight,annual_contribution_mln,formula
S5,S5 Varese - Milano Passante - Treviglio,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Feriale,58.4,145,8.468,daily_travellers_thousand × days_weight / 1000
S5,S5 Varese - Milano Passante - Treviglio,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Sabato,43.3,29,1.2556999999999998,daily_travellers_thousand × days_weight / 1000
S5,S5 Varese - Milano Passante - Treviglio,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Festivo,30.8,38,1.1704,daily_travellers_thousand × days_weight / 1000
S5,S5 Varese - Milano Passante - Treviglio,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Feriale,53.1,63,3.3453000000000004,daily_travellers_thousand × days_weight / 1000
S5,S5 Varese - Milano Passante - Treviglio,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Sabato,38.1,13,0.4953,daily_travellers_thousand × days_weight / 1000
S5,S5 Varese - Milano Passante - Treviglio,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Festivo,32.8,15,0.49199999999999994,daily_travellers_thousand × days_weight / 1000
S5,S5 Varese - Milano Passante - Treviglio,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Feriale,44.9,43,1.9307,daily_travellers_thousand × days_weight / 1000
S5,S5 Varese - Milano Passante - Treviglio,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Sabato,18.0,9,0.162,daily_travellers_thousand × days_weight / 1000
S5,S5 Varese - Milano Passante - Treviglio,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Festivo,16.5,10,0.165,daily_travellers_thousand × days_weight / 1000
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Feriale,51.6,145,7.482,daily_travellers_thousand × days_weight / 1000
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Sabato,30.5,29,0.8845,daily_travellers_thousand × days_weight / 1000
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Festivo,17.0,38,0.646,daily_travellers_thousand × days_weight / 1000
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Feriale,47.2,63,2.9736000000000002,daily_travellers_thousand × days_weight / 1000
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Sabato,30.0,13,0.39,daily_travellers_thousand × days_weight / 1000
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Festivo,15.5,15,0.2325,daily_travellers_thousand × days_weight / 1000
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Feriale,40.9,43,1.7587000000000002,daily_travellers_thousand × days_weight / 1000
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Sabato,32.0,9,0.288,daily_travellers_thousand × days_weight / 1000
S8,S8 Lecco - Carnate - Milano Pta Garibaldi,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Festivo,15.1,10,0.151,daily_travellers_thousand × days_weight / 1000
RE6,Verona - Brescia - Milano,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Feriale,36.1,145,5.2345,daily_travellers_thousand × days_weight / 1000
RE6,Verona - Brescia - Milano,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Sabato,39.3,29,1.1396999999999997,daily_travellers_thousand × days_weight / 1000
RE6,Verona - Brescia - Milano,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Festivo,33.0,38,1.254,daily_travellers_thousand × days_weight / 1000
RE6,Verona - Brescia - Milano,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Feriale,40.5,63,2.5515,daily_travellers_thousand × days_weight / 1000
