line_code,line_name,source_type,url_or_note,method_status,data_year
FL1,FL1 Fiumicino Aeroporto – Roma – Fara Sabina/Orte,primary,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,S,2025 stimato
FL1,FL1 Fiumicino Aeroporto – Roma – Fara Sabina/Orte,secondary,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,S,2025 stimato
FL1,FL1 Fiumicino Aeroporto – Roma – Fara Sabina/Orte,color,https://en.wikipedia.org/wiki/Module:Adjacent_stations/FL_lines,S,2025 stimato
Metromare,Roma-Lido / Metromare,primary,https://www.regione.lazio.it/sites/default/files/documentazione/2025/Cotral_Carta_della_Qualita%CC%80_e_dei_Servizi_2025.pdf,R,2024
Metromare,Roma-Lido / Metromare,color,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Cotral,R,2024
S5,S5 Varese – Milano Passante – Treviglio,primary,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,L25,2025
S5,S5 Varese – Milano Passante – Treviglio,secondary,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,L25,2025
S5,S5 Varese – Milano Passante – Treviglio,color,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,L25,2025
S8,S8 Lecco – Carnate – Milano Porta Garibaldi,primary,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,L25,2025
S8,S8 Lecco – Carnate – Milano Porta Garibaldi,secondary,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,L25,2025
S8,S8 Lecco – Carnate – Milano Porta Garibaldi,color,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,L25,2025
FL3,FL3 Roma – Cesano – Viterbo,primary,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,S,2025 stimato
FL3,FL3 Roma – Cesano – Viterbo,secondary,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,S,2025 stimato
FL3,FL3 Roma – Cesano – Viterbo,color,https://en.wikipedia.org/wiki/Module:Adjacent_stations/FL_lines,S,2025 stimato
RE6,RE6 Milano – Brescia – Verona,primary,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,L25,2025
RE6,RE6 Milano – Brescia – Verona,secondary,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,L25,2025
RE6,RE6 Milano – Brescia – Verona,color,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,L25,2025
Roma-Viterbo,Roma Nord / Roma – Civita Castellana – Viterbo,primary,https://www.regione.lazio.it/sites/default/files/documentazione/2025/Cotral_Carta_della_Qualita%CC%80_e_dei_Servizi_2025.pdf,R,2024
Roma-Viterbo,Roma Nord / Roma – Civita Castellana – Viterbo,color,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Cotral,R,2024
S6,S6 Novara – Milano Passante – Treviglio/Pioltello,primary,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,L25,2025
