chart_id,grafico,tipo,label,url,local_dataset,nota
01_linee_indice,Evoluzione linee suburbane Trenord,fonte_dati,Trenord dati 2025,https://www.trenord.it/news/trenord-informa/comunicati-stampa/dati-2025-trenord/,data/processed/linee_s_indice_2019_2025.csv,Valori 2025 citati da comunicato Trenord
01_linee_indice,Evoluzione linee suburbane Trenord,fonte_dati,Trenord dati mobilita 2024,https://www.trenord.it/news/trenord-informa/comunicati-stampa/dati-mobilita-2024/,data/processed/linee_s_indice_2019_2025.csv,Valori 2024 e confronto 2023
01_linee_indice,Evoluzione linee suburbane Trenord,fonte_dati,Regione Lombardia frequentazione linee SFR,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv,Dataset regionale grezzo
02_variazione_linee,Variazione assoluta 2025-2024,fonte_dati,Regione Lombardia frequentazione linee SFR,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,data/processed/variazione_linee_suburbane_2024_2025_dettaglio.csv,Confronto solo tra campagne presenti in entrambi gli anni
03_top20,Top 20 linee ferroviarie locali,fonte_dati,Fonti riga per riga top20,https://simoneghezzicolombo.github.io/s8-analisi/data/reproducibility/top20/sources_by_line.csv,data/processed/top20_linee_locali_italia.csv,CSV con primary_source e secondary_source per ogni linea
03_top20,Top 20 linee ferroviarie locali,metodologia,Calcolo Lombardia/Trenord 2025,https://simoneghezzicolombo.github.io/s8-analisi/data/reproducibility/top20/TRENORD_L25_CALCULATION.md,data/reproducibility/top20/s8_14_8063_calculation_detail.csv,Dettaglio annualizzazione S8 e linee Lombardia
04_metro,Benchmark metropolitane,fonte_dati,CSV fonti benchmark metropolitane,https://simoneghezzicolombo.github.io/s8-analisi/data/processed/benchmark_metropolitane_s8.csv,data/processed/benchmark_metropolitane_s8.csv,Contiene fonte_passeggeri e fonte_frequenza per ogni servizio
04_metro,Benchmark metropolitane,fonte_dati,Trenord dati 2025,https://www.trenord.it/news/trenord-informa/comunicati-stampa/dati-2025-trenord/,data/processed/benchmark_metropolitane_s8.csv,Fonte per dato feriale S8
04_metro,Benchmark metropolitane,fonte_dati,AMT/Comune Genova metropolitana,https://www.amt.genova.it/amt/la-tua-metropolitana-pronto-al-via-il-progetto-di-comune-di-genova-e-amt-per-la-valorizzazione-della-metropolitana-genovese/,data/processed/benchmark_metropolitane_s8.csv,"Fonte 14,4 milioni Genova"
05_stazioni_indice,Passeggeri stazioni S8 2015-2025,fonte_dati,Regione Lombardia Flussi Stazioni Ferroviarie,https://hub.dati.lombardia.it/widgets/m2u2-frtq,data/raw/regione_lombardia_flussi_stazioni_2015_2023_20260424.csv,Periodo 2015-2023
05_stazioni_indice,Passeggeri stazioni S8 2015-2025,fonte_dati,Regione Lombardia frequentazione stazioni SFR,https://hub.dati.lombardia.it/w/ut63-s688/default,data/raw/regione_lombardia_frequentazione_stazioni_sfr_20260424.csv,Periodo 2024-2025
06_scatter_stazioni,Crescita passeggeri stazioni lombarde,fonte_dati,Regione Lombardia Flussi Stazioni Ferroviarie,https://hub.dati.lombardia.it/widgets/m2u2-frtq,data/processed/scatter_stazioni_lombarde_2019_2025.csv,Base 2019 e coordinate storiche
06_scatter_stazioni,Crescita passeggeri stazioni lombarde,fonte_dati,Regione Lombardia frequentazione stazioni SFR,https://hub.dati.lombardia.it/w/ut63-s688/default,data/processed/scatter_stazioni_lombarde_2019_2025.csv,Valori 2025
07_peso_punta,Peso punta stazioni S8,fonte_dati,Regione Lombardia Flussi Stazioni Ferroviarie,https://hub.dati.lombardia.it/widgets/m2u2-frtq,data/processed/peso_punta_stazioni_s8_2015_2025.csv,Saliti7-9 e Saliti24H
08_punta_morbida,Crescita punta e fuori punta,fonte_dati,Regione Lombardia Flussi Stazioni Ferroviarie,https://hub.dati.lombardia.it/widgets/m2u2-frtq,data/processed/punta_morbida_meratese_2019_2025.csv,Calcolo 2019-2025 su saliti 7-9 e 24H
08_punta_morbida,Crescita punta e fuori punta,fonte_dati,Regione Lombardia frequentazione stazioni SFR,https://hub.dati.lombardia.it/w/ut63-s688/default,data/processed/punta_morbida_meratese_2019_2025.csv,Valori 2025
09_mappa_bacini,Bacini potenziali fermate S8,fonte_dati,WorldPop,https://www.worldpop.org/,data/reproducibility/isochrone_s8/sources.csv,Raster popolazione usato nel calcolo dei bacini
09_mappa_bacini,Bacini potenziali fermate S8,fonte_dati,OpenStreetMap,https://www.openstreetmap.org/,data/reproducibility/isochrone_s8/sources.csv,Rete e base cartografica
09_mappa_bacini,Bacini potenziali fermate S8,metodologia,Valhalla,https://valhalla.github.io/valhalla/,data/reproducibility/isochrone_s8/sources.csv,Motore isocrone su rete
